,SMILES,NMR Acceptor Number (AN),Water Exchange Rate (WERC),pK$_h$,Electrostatic Acceptor Number (E$_a$),Covalent Acceptor Number (C$_a$),Infrared Xanthone Complexes (IrX),Infrared TPPO Complexes (IrTPPO),Infrared EthylAcetate Complexes (IrAcOEt),Oxidation Peak (Ox),Complexing Power (CP)
136,ClC(Cl)(Cl)COB(OCC(Cl)(Cl)Cl)OCC(Cl)(Cl)Cl,71.2,,,,,,,,,
137,ClCC(CCl)OB(OC(CCl)CCl)OC(CCl)CCl,42.7,,,,,,,,,
138,BrCCOB(OCCBr)OCCBr,38.1,,,,,,,,,
139,ICCOB(OCCI)OCCI,45.6,,,,,,,,,
140,CC(F)(F)COB(OCC(F)(F)F)OCC(F)(F)F,66.4,,,,,,,,,
141,CC[Si](CC)(CC)OB(O[Si](CC)(CC)CC)O[Si](CC)(CC)CC,34.0,,,,,,,,,
142,CCC[Si](CCC)(CCC)OB(O[Si](CCC)(CCC)CCC)O[Si](CCC)(CCC)CCC,28.0,,,,,,,,,
143,CCCC[Si](CCCC)(CCCC)OB(O[Si](CCCC)(CCCC)CCCC)O[Si](CCCC)(CCCC)CCCC,23.0,,,,,,,,,
144,CCCC[Si](C)(C)OB(O[Si](C)(C)CCCC)O[Si](C)(C)CCCC,36.0,,,,,,,,,
145,C[Si](C)(OB(O[Si](C)(C)c1ccccc1)O[Si](C)(C)c1ccccc1)c1ccccc1,29.0,,,,,,,,,
146,CCCC[Sn](CCCC)(CCCC)OB(O[Sn](CCCC)(CCCC)CCCC)O[Sn](CCCC)(CCCC)CCCC,25.0,,,,,,,,,
147,CB1OB(C)OB(C)O1,51.5,,,,,,,,,
148,c1ccc(B2OB(c3ccccc3)OB(c3ccccc3)O2)cc1,49.1,,,,,,,,,
149,Brc1ccc(B2OB(c3ccc(Br)cc3)OB(c3ccc(Br)cc3)O2)cc1,50.4,,,,,,,,,
150,Fc1c(F)c(F)c(B2OB(c3c(F)c(F)c(F)c(F)c3F)OB(c3c(F)c(F)c(F)c(F)c3F)O2)c(F)c1F,86.2,,,,,,,,,
151,COB1OB(OC)OB(OC)O1,78.5,,,,,,,,,
152,CCOB1OB(OCC)OB(OCC)O1,80.1,,,,,,,,,
153,CCCOB1OB(OCCC)OB(OCCC)O1,79.1,,,,,,,,,
154,CC(C)OB1OB(OC(C)C)OB(OC(C)C)O1,73.5,,,,,,,,,
155,CCCCOB1OB(OCCCC)OB(OCCCC)O1,77.9,,,,,,,,,
156,ClCCOB1OB(OCCCl)OB(OCCCl)O1,79.4,,,,,,,,,
157,ClCCCOB1OB(OCCCCl)OB(OCCCCl)O1,77.9,,,,,,,,,
158,ClCCCCOB1OB(OCCCCCl)OB(OCCCCCl)O1,77.4,,,,,,,,,
159,ClC(Cl)COB1OB(OCC(Cl)Cl)OB(OCC(Cl)Cl)O1,80.5,,,,,,,,,
160,ClC(Cl)(Cl)COB1OB(OCC(Cl)(Cl)Cl)OB(OCC(Cl)(Cl)Cl)O1,79.4,,,,,,,,,
161,ClCC(CCl)OB1OB(OC(CCl)CCl)OB(OC(CCl)CCl)O1,79.4,,,,,,,,,
162,FC(F)(F)COB1OB(OCC(F)(F)F)OB(OCC(F)(F)F)O1,86.1,,,,,,,,,
163,CC[Si](C)(C)OB1OB(O[Si](C)(C)CC)OB(O[Si](C)(C)CC)O1,74.0,,,,,,,,,
164,CCCC[Si](C)(C)OB1OB(O[Si](C)(C)CCCC)OB(O[Si](C)(C)CCCC)O1,71.0,,,,,,,,,
165,CC(C)C(C)(C)[Si](C)(C)OB1OB(O[Si](C)(C)C(C)(C)C(C)C)OB(O[Si](C)(C)C(C)(C)C(C)C)O1,59.0,,,,,,,,,
166,C[Si](C)(OB1OB(O[Si](C)(C)c2ccccc2)OB(O[Si](C)(C)c2ccccc2)O1)c1ccccc1,81.0,,,,,,,,,
167,CC[Si](CC)(CC)OB1OB(O[Si](CC)(CC)CC)OB(O[Si](CC)(CC)CC)O1,72.0,,,,,,,,,
168,CCC[Si](CCC)(CCC)OB1OB(O[Si](CCC)(CCC)CCC)OB(O[Si](CCC)(CCC)CCC)O1,63.0,,,,,,,,,
169,CCCC[Si](CCCC)(CCCC)OB1OB(O[Si](CCCC)(CCCC)CCCC)OB(O[Si](CCCC)(CCCC)CCCC)O1,56.0,,,,,,,,,
170,CCCCCC[Si](CCCCCC)(CCCCCC)OB1OB(O[Si](CCCCCC)(CCCCCC)CCCCCC)OB(O[Si](CCCCCC)(CCCCCC)CCCCCC)O1,44.0,,,,,,,,,
171,CCCC[Sn](CCCC)(CCCC)OB1OB(O[Sn](CCCC)(CCCC)CCCC)OB(O[Sn](CCCC)(CCCC)CCCC)O1,54.0,,,,,,,,,
172,CN1B(c2ccccc2)N(C)B(c2ccccc2)N(C)B1c1ccccc1,21.4,,,,,,,,,
173,CCC[Si](CCC)(CCC)OB(O[Si](CCC)(CCC)CCC)c1ccccc1,23.0,,,,,,,,,
174,CCC[Si](CCC)(CCC)OB(O[Si](CCC)(CCC)CCC)c1ccccc1C,31.0,,,,,,,,,
175,C[Si]1(C)OB(c2cccc(N)c2)O[Si](C)(C)O1,22.0,,,,,,,,,
176,C[Si]1(C)OB(c2ccccc2)O[Si](C)(C)O1,28.0,,,,,,,,,
177,C[Si]1(c2ccccc2)OB(c2ccc(Br)cc2)O[Si](C)(c2ccccc2)O1,27.0,,,,,,,,,
178,C[Si]1(c2ccccc2)OB(c2cccc(N)c2)O[Si](C)(c2ccccc2)O1,28.0,,,,,,,,,
179,Cc1ccccc1B1O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,29.0,,,,,,,,,
180,Cc1ccc(B2O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O2)cc1,30.0,,,,,,,,,
181,CCCCB1O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,30.0,,,,,,,,,
182,c1ccc(B2O[Si](c3ccccc3)(c3ccccc3)OB(c3ccccc3)O[Si](c3ccccc3)(c3ccccc3)O2)cc1,59.0,,,,,,,,,
183,Brc1ccc(B2OB(c3ccc(Br)cc3)O[Si](c3ccccc3)(c3ccccc3)O[Si](c3ccccc3)(c3ccccc3)O2)cc1,49.0,,,,,,,,,
184,Cc1ccccc1B1OB(c2ccccc2C)O[Si](c2ccccc2)(c2ccccc2)O[Si](c2ccccc2)(c2ccccc2)O1,49.0,,,,,,,,,
