;SMILES;FIA;FIA (COSMO);AN;WERC;pKh;Ea;Ca;Yield;Excess_AvsB;Cook1963;Frazer1962;Lappert;50microA_CH2Cl2;50microA_DMF;Delta_Epa_Maity;Delta_E1/2_DPV_Maity;Complexing_power;Potentiel_pic_3eq;Potentiel_pic_1eq;Equivalents;In Silico Beckett-Childs
84;Fc1ccc(O[P+](c2c(F)c(F)c(F)c(F)c2F)(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(F)c1;718.0;;;;;;;;;;;;;;;;;;;;
85;Fc1ccc(O[P+](c2c(F)c(F)c(F)c(F)c2F)(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)cc1;712.0;;;;;;;;;;;;;;;;;;;;
86;Fc1ccc([P+](F)(c2ccc(F)cc2)c2ccc(F)cc2)cc1;895.0;;;;;;;;;;;;;;;;;;;;
87;I[C+](I)I;813.0;302.0;;;;;;;;;;;;;;;;;;;
88;I[P+]I;920.0;395.0;;;;;;;;;;;;;;;;;;;
89;I[Te+](I)I;735.0;;;;;;;;;;;;;;;;;;;;
90;O=C(/C=C(\[O-])C(F)(F)F)C(F)(F)F.O=C(/C=C(\[O-])C(F)(F)F)C(F)(F)F.[Cu+2];;;;;;3.46;1.32;;;;;;;;;;;;;;
91;O=C(C(C(=O)C(F)(F)F)[Sc+3](N(C(=O)C(F)(F)F)C(=O)C(F)(F)F)N(C(=O)C(F)(F)F)C(=O)C(F)(F)F)C(F)(F)F;424.0;;;;;;;;;;;;;;;;;;;;
92;O=C(O[Sc+3](OC(=O)C(F)(F)F)OC(=O)C(F)(F)F)C(F)(F)F;507.0;;;;;;;;;;;;;;;;;;;;
93;O=C([O-])C(F)(F)F.O=C([O-])C(F)(F)F.O=C([O-])C(F)(F)F.[Al+3];485.0;;;;;;;;;;;;;;;;;;;;
94;O=S(=O)(N([Sc+3](N(S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F)N(S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F)C(F)(F)F;474.0;;;;;;;;;;;;;;;;;;;;197
95;O=S(=O)(O[Sc+3](OS(=O)(=O)C(F)(F)F)OS(=O)(=O)C(F)(F)F)C(F)(F)F;516.0;;;;;;;;;;;;;;;;;-1.35;-1.50;6;198
96;O=[Cl+2][O-];907.0;;;;;;;;;;;;;;;;;;;;
97;O=[N+]([O-])F;80.0;;;;;;;;;;;;;;;;;;;;
98;O=[N+]([O-])c1cccc(B2OB(c3cccc([N+](=O)[O-])c3)OB(c3cccc([N+](=O)[O-])c3)O2)c1;;;52.6;;;;;;;;;;;;;;;;;;
99;O=[N+]([O-])c1cccc(B2OB(c3cccc([N+](=O)[O-])c3)O[Si](c3ccccc3)(c3ccccc3)O[Si](c3ccccc3)(c3ccccc3)O2)c1;;;46.0;;;;;;;;;;;;;;;;;;
100;O=[S+](F)(c1ccccc1)c1ccccc1;556.0;585.0;;;;;;;;;;;;;;;;;;;
101;O=[S+]1(F)c2ccccc2-c2ccccc21;630.0;;;;;;;;;;;;;;;;;;;;
102;O=[Xe+2](F)F.[F-].[F-];267.0;;;;;;;;;;;;;;;;;;;;
103;[Ag+5].[F-].[F-].[F-].[F-].[F-];525.0;;;;;;;;;;;;;;;;;;;;
104;[Ag+];;;65.9;5.0;12.0;;;;;;;;;;;;;;;;70
105;[Al+3];515.9;;;1.6e-06;4.97;;;;;;;;;;;;2.35;;;;
106;[Al+3].[Br-].[Br-].[Br-];494.0;;;;;;;;;163.0;;138.0;;;;;;;;;
107;[Al+3].[Cl-].[Cl-].[Cl-];516.0;;106.2;;;;;;;;-35.0;117.0;;;;;;;;;
108;[Al+3].[Cl-].[Cl-].[F-];481.0;;;;;;;;;;;;;;;;;;;;
109;[Al+3].[Cl-].[F-].[F-];500.0;;;;;;;;;;;;;;;;;;;;
110;[Al+3].[F-].[F-];1196.0;;;;;;;;;;;;;;;;;;;;
111;[Al+3].[F-].[F-].[F-];502.0;;;;;;;;;;;;;;;;;;;;
112;[Au+5].[F-].[F-].[F-].[F-].[F-];571.0;;;;;;;;;;;;;;;;;;;;
113;[Ba+2];;;50.7;60.0;13.47;;;;;;;;;;;;0.28;;;;
114;[Be+2].[F-];1276.0;;;;;;;;;;;;;;;;;;;;
115;[Be+2].[F-].[F-];376.0;;;;;;;;;;;;;;;;;;;;
116;[Be+2].c1cc[cH-]c1;1048.0;;;;;;;;;;;;;;;;;;;;
117;[Bi+3];;;;;1.09;;;;;;-51.0;;;;;;;;;;
118;[Bi+3].[Br-].[Br-].[Br-];;;;;;;;;;;-46.0;;;;;;;;;;
119;[Bi+3].[Cl-].[Cl-].[Cl-];;;;;;;;53.0;-52.0;59.0;-40.0;;;;;;;;;;
120;[Br-].[Br-].[Br-].[Br-].[Sn+4];;;;;;;;;;136.0;;111.0;;;;;;;;;
121;[Br-].[Br-].[Br-].[Br-].[Ti+4];;;;;;;;;;181.0;;128.0;;;;;;;;;
