;SMILES;FIA;FIA (COSMO);AN;WERC;pKh;Ea;Ca;Yield;Excess_AvsB;Cook1963;Frazer1962;Lappert;50microA_CH2Cl2;50microA_DMF;Delta_Epa_Maity;Delta_E1/2_DPV_Maity;Complexing_power;Potentiel_pic_3eq;Potentiel_pic_1eq;Equivalents;In Silico Beckett-Childs
449;Sc1ccccc1;;;;;;0.99;198.0;;;;;;;;;;;;;;
450;Oc1ccccc1;;;;;;4.33;442.0;;;;;;;;;;;;;;
451;Cc1ccc(O)cc1;;;;;;4.18;404.0;;;;;;;;;;;;;;
452;Oc1ccc(F)cc1;;;;;;4.17;446.0;;;;;;;;;;;;;;
453;Oc1cccc(F)c1;;;;;;4.42;506.0;;;;;;;;;;;;;;
454;Oc1ccc(Cl)cc1;;;;;;4.34;478.0;;;;;;;;;;;;;;
455;Oc1cccc(C(F)(F)F)c1;;;;;;4.48;530.0;;;;;;;;;;;;;;
456;OCC(F)(F)F;;;;;;3.88;451.0;;;;;;;;;;;;;;
457;OC(C(F)(F)F)C(F)(F)F;;;;;;5.93;623.0;;;;;;;;;;;;;;
458;c1cc[nH]c1;;;;;;2.54;295.0;;;;;;;;;;;;;;
459;ClC(Cl)Cl;;;;;;3.02;159.0;;;;;;;;;;;;;;
460;C[Al](C)C;;;;;;16.9;1.43;;;;;;;;;;;;;;
461;BrI;;;;;;2.41;1.56;;;;;;;;;;;;;;
462;CC(C)(C)c1ccc(O)cc1;;;;;;4.06;387.0;;;;;;;;;;;;;;
463;C[Ga](C)C;;;;;;13.3;881.0;;;;;;;;;;;;;;
464;CC[Ga](CC)CC;;;;;;12.6;593.0;;;;;;;;;;;;;;
465;C[In](C)C;;;;;;15.3;654.0;;;;;;;;;;;;;;
466;CC(C)(C)O;;;;;;2.04;300.0;;;;;;;;;;;;;;
467;Cl[Si](Cl)(Cl)Cl;;;;;;;;8.0;-50.0;;-31.0;4.0;;;;;;;;;
469;;;;;;;;;;;;;;;;0.0;0.0;;;;;
